기관명,주소,위도,경도,카테고리_대,카테고리_소
다소담한의원,"서울특별시 금천구 시흥대로 90, 2층 (시흥동, 정송빌딩)",37.44211137,126.9039434,병원,한의원
다솔한의원,서울특별시 중랑구 공릉로2길 7 2층  (묵동),37.61223543,127.078263,병원,한의원
다솔한의원,"서울특별시 양천구 신월로 301, 2층 (신정동)",37.52157234,126.8544323,병원,한의원
다솜누리경희한의원,"서울특별시 동대문구 사가정로 148, 202~204호 (전농동)",37.57739605,127.059012,병원,한의원
다솜연세가정의학과의원,"서울특별시 성북구 한천로78길 53, 2층 (석관동, 다솜빌딩)",37.61283671,127.0646377,병원,의원
다솜이비인후과의원,"서울특별시 노원구 동일로 1677, 6층 (상계동)",37.67818419,127.0549684,병원,의원
궁동의원,"서울특별시 구로구 부일로15길 4, 2층 (궁동)",37.49355328,126.8344172,병원,의원
다솜치과의원,"서울특별시 중랑구 봉화산로 194, 708호 (신내동, 신아타운)",37.60645263,127.094707,병원,치과의원
다솜한의원,"서울특별시 강남구 삼성로 237, 1층 (대치동)",37.49833477,127.060919,병원,한의원
다솜한의원,"서울특별시 서초구 서초중앙로24길 18, 3층 (서초동)",37.4947468,127.0155193,병원,한의원
다스름한의원,"서울특별시 서초구 샘마루길 4, 한울 1층 (내곡동)",37.45645548,127.0705315,병원,한의원
다스름한의원,"서울특별시 강남구 개포로 512, 개포종합상가 502호 (개포동)",37.4893073,127.0688437,병원,한의원
다스름한의원,서울특별시 관악구 은천로25길 69 (봉천동),37.4890674,126.9483572,병원,한의원
다시봄날의원,"서울특별시 노원구 동일로215길 2, 하나빌딩 3층 (상계동)",37.65154456,127.0609703,병원,의원
다시봄안과의원,"서울특별시 서초구 서초중앙로 130, 9층 (서초동)",37.49326212,127.014095,병원,의원
다시봄의원,"서울특별시 동대문구 망우로 123, 5층 (휘경동)",37.59171172,127.0665966,병원,의원
다시봄의원,"서울특별시 동작구 흑석한강로 27, 106동  B104호 (흑석동, 흑석한강푸르지오상가)",37.50409942,126.9662844,병원,의원
다시봄의원,"서울특별시 동작구 흑석한강로 27, 106동  B104호 (흑석동, 흑석한강푸르지오상가)",37.50409942,126.9662844,병원,의원
다시봄한의원,"서울특별시 강동구 진황도로49길 41, 이화빌딩 1층 (길동)",37.53488098,127.1422502,병원,한의원
다시세움재활의학과의원,"서울특별시 동작구 동작대로 89, 골든시네마타워 301~303호 (사당동)",37.48461403,126.9816657,병원,의원
다시온의원,"서울특별시 강남구 강남대로 320, 황화빌딩 8층 (역삼동)",37.49185331,127.0310482,병원,의원
김시효한의원,"서울특별시 강남구 압구정로 312, 4층 일부 (신사동)",37.52877882,127.0355147,병원,한의원
다시올한의원,"서울특별시 송파구 법원로11길 7, 문정현대지식산업센터1-2 지2층 B214호 (문정동)",37.48535458,127.1192265,병원,한의원
다시피움성형외과의원,"서울특별시 서초구 서초대로73길 9, 타임빌딩 701(실제 601)호 (서초동)",37.49830825,127.0252278,병원,의원
다엘소아청소년과의원,"서울특별시 동작구 상도로 65, 3층 (대방동)",37.49998384,126.927922,병원,의원
다연한의원,"서울특별시 종로구 성균관로 64, 1층 (명륜1가)",37.58826075,126.9970426,병원,한의원
다예의원,"서울특별시 강북구 도봉로 260, 303호 (미아동, 운산빌딩)",37.63170676,127.0244229,병원,의원
다오의원,"서울특별시 중구 퇴계로 123, 하이헤리엇 9층 9011,9012호 (충무로2가)",37.5612659,126.9853643,병원,의원
다온미소치과의원,"서울특별시 양천구 남부순환로 353, 1층 (신월동)",37.53567418,126.8289231,병원,치과의원
다온미소치과의원,"서울특별시 강북구 도봉로 67, 3층 1, 2호 (미아동, 새한병원)",37.61511795,127.0295815,병원,치과의원
다온미소치과의원,"서울특별시 강서구 강서로16길 1, 2층 (화곡동)",37.53266183,126.8464702,병원,치과의원
다온삼성정형외과의원,"서울특별시 은평구 서오릉로 134, 메디칼 3,7층 (대조동)",37.61101258,126.9181212,병원,의원
다온소아청소년과의원,"서울특별시 강동구 아리수로 427, 504호 (강일동)",37.56496233,127.1746034,병원,의원
다온의원,"서울특별시 송파구 송파대로 467, 대성빌딩 5층 (석촌동)",37.5018805,127.1106885,병원,의원
다온재한의원,"서울특별시 송파구 올림픽로 145, 리센츠 4층 4C02호 (잠실동)",37.51198046,127.0870419,병원,한의원
다온정신건강의학과의원,"서울특별시 송파구 올림픽로35가길 9, 225호,226호 (신천동, 잠실 푸르지오 월드마크)",37.51748462,127.1034448,병원,의원
다온치과의원,"서울특별시 강서구 공항대로41길 76, 302호 (등촌동, 로얄프라자)",37.56096427,126.8468268,병원,치과의원
나은여성의원,"서울특별시 동대문구 고산자로 399, 302호 (용두동)",37.57527629,127.0377696,병원,의원
다온치과의원,"서울특별시 중랑구 중랑역로 62, 2층 (중화동)",37.59891377,127.0781058,병원,치과의원
다온한의원,"서울특별시 양천구 중앙로 265, 2층 (신정동)",37.51992492,126.8526981,병원,한의원
다온헬스케어의원,"서울특별시 송파구 송파대로 111 (문정동, 파크하비오 하비오타워 법조대로 205동 401~419호)",37.47968706,127.1249798,병원,의원
다올린의원,"서울특별시 서초구 서초대로 3-4, 3층 302호 (방배동, 방배디오슈페리움1)",37.48603179,126.9830837,병원,의원
다올정형외과의원,"서울특별시 강동구 올림픽로 663, 아스하임 3층 (천호동)",37.54081768,127.1237541,병원,의원
다올치과의원,"서울특별시 중구 서소문로9길 28, 124호 (순화동, 덕수궁롯데캐슬)",37.56370849,126.970043,병원,치과의원
다올한의원,서울특별시 관악구 관악로 218 (봉천동),37.48409304,126.9552486,병원,한의원
권한의원,"서울특별시 강남구 학동로56길 8 (삼성동, 한양빌딩 2층 2호)",37.51678967,127.0422326,병원,한의원
다올항외과의원,"서울특별시 구로구 경인로 572, 스타팰리스 4층 (구로동)",37.50330627,126.8810839,병원,의원
다옴한의원,"서울특별시 송파구 가락로 55, 2층 (석촌동)",37.49970934,127.102504,병원,한의원
다움산부인과의원,"서울특별시 강남구 강남대로 390, 미진프라자 1301호 (역삼동)",37.49783995,127.0285788,병원,의원
다움성형외과의원,"서울특별시 강남구 강남대로 388, 강남센타빌딩 8층 (역삼동)",37.49744958,127.0284225,병원,의원
다움치과의원,"서울특별시 도봉구 도봉로 726, 4층 (방학동)",37.66929474,127.043858,병원,치과의원
다웰내과의원,"서울특별시 마포구 큰우물로 76, 고려빌딩 1층 103호 (도화동)",37.54080502,126.9459462,병원,의원
다이룸한의원,"서울특별시 강남구 압구정로30길 63, 3층 (신사동)",37.52324841,127.029159,병원,한의원
권소아과의원,서울특별시 성북구 화랑로23길 4 (상월곡동),37.60837406,127.0515666,병원,의원
다이브의원,"서울특별시 성북구 동소문로 98, 메디컬센터빌딩 5층 (동소문동5가)",37.59225207,127.0161725,병원,의원
다이아몬드치과의원,"서울특별시 영등포구 여의동로3길 10 (여의도동,여의도자이501-203)",37.51811729,126.925196,병원,치과의원
다이아몬드치과의원,"서울특별시 은평구 진흥로 21, 5층 (역촌동)",37.60032394,126.9178209,병원,치과의원
김지천안과의원,서울특별시 은평구 가좌로 227 (응암동),37.5901202,126.916908,병원,의원
김정길한의원,"서울특별시 동대문구 망우로 67, 201호 (휘경동)",37.58996942,127.0606068,병원,한의원
그린한의원,"서울특별시 관악구 난곡로 360, 2층 (신림동)",37.4861749,126.9139049,병원,한의원
다이아비뇨의학과의원,"서울특별시 마포구 상암산로 76, YTN 뉴스퀘어 지하1층 일부호 (상암동)",37.57919435,126.8923145,병원,의원
다이아산부인과의원,"서울특별시 용산구 한강대로 287, 2층 (갈월동)",37.5439052,126.9719373,병원,의원
다이아의원,"서울특별시 서초구 강남대로 411, 11층 (서초동)",37.49916032,127.0265109,병원,의원
다이즐한의원,"서울특별시 광진구 아차산로 207, 4층 (화양동)",37.54151987,127.0667327,병원,한의원
금재한의원,"서울특별시 동대문구 약령중앙로 38, 1층 (제기동)",37.58159114,127.0373376,병원,한의원
다이즐한의원,"서울특별시 강동구 천호대로157길 14, 906호 (천호동)",37.53814404,127.1273259,병원,한의원
다이즐한의원,"서울특별시 강남구 강남대로84길 8, 우인빌딩 10층 (역삼동)",37.49648078,127.0293268,병원,한의원
다이트한의원,"서울특별시 강남구 도산대로 121, YK타워 지하1층, 4층, 8층, 14~15층 (신사동)",37.51740764,127.0217288,병원,한의원
다인이비인후과의원,서울특별시 강서구 강서로 52 (화곡동),37.53246052,126.8466514,병원,의원
다인정형외과의원,"서울특별시 강동구 양재대로 1377, 삼원빌딩 308-310호 (성내동)",37.52922273,127.1362621,병원,의원
다인치과병원,"서울특별시 노원구 노해로 507, 5층 (상계동, 와우쇼핑몰)",37.65542724,127.0638891,병원,치과병원
다인치과의원,"서울특별시 금천구 시흥대로 8, 202,203호 (시흥동, 아르스파크)",37.43461734,126.9034807,병원,치과의원
다인치과의원,"서울특별시 은평구 증산로 399, 4층 (신사동)",37.59193669,126.913521,병원,치과의원
다인치과의원,"서울특별시 송파구 송파대로28길 13, 3층 (가락동)",37.49425498,127.119418,병원,치과의원
금성한의원,서울특별시 성동구 독서당로 287-8 (금호동4가),37.5480601,127.0209214,병원,한의원
다인치과의원,"서울특별시 종로구 지봉로8길 54, 2층 (숭인동, 중앙빌딩)",37.57673675,127.0157326,병원,치과의원
다인피부과의원,"서울특별시 강남구 압구정로50길 8, 3층 (신사동)",37.52778937,127.0380315,병원,의원
다인한의원,"서울특별시 용산구 청파로47길 66 (청파동2가, 중하빌딩 3층)",37.54506597,126.9667724,병원,한의원
다정다감한의원,"서울특별시 양천구 오목로 320, 2층 (목동)",37.52459638,126.8728863,병원,한의원
다정산부인과의원,"서울특별시 동대문구 장한로 10, 3층 (장안동)",37.56235695,127.0654988,병원,의원
다정의원,"서울특별시 강서구 양천로 31, 2층 (방화동)",37.57291949,126.8073368,병원,의원
다정이비인후과의원,"서울특별시 관악구 보라매로 4, 2층 (봉천동)",37.48995972,126.9279787,병원,의원
다정한김치과의원,"서울특별시 강동구 천호대로 1015, 8층 (천호동, 성보빌딩)",37.53850411,127.1251077,병원,치과의원
다정한의원,서울특별시 양천구 화곡로13길 29 (신월동),37.5411759,126.8332324,병원,한의원
다정한의원,"서울특별시 영등포구 영등포로5길 28, 2층 (양평동2가)",37.52443186,126.8847533,병원,한의원
다정한치과의원,"서울특별시 강남구 남부순환로 2917, 청실종합상가 2층 206. 207호 (대치동)",37.4931667,127.0591649,병원,치과의원
다정해정신건강의학과의원,"서울특별시 성북구 아리랑로 9, 산맥프라자 4층 (동소문동6가)",37.59373206,127.0159782,병원,의원
다짐치과의원,"서울특별시 양천구 신월로 177, 도이치빌딩 4층 (신월동)",37.51906242,126.8427938,병원,치과의원
다태나의원,"서울특별시 송파구 올림픽로 108, 맥스빌딩 3,9층 (잠실동)",37.51142617,127.082765,병원,의원
남향한의원,"서울특별시 동작구 동작대로29길 15, 2층 (사당동)",37.48792074,126.9811595,병원,한의원
금천수한의원,"서울특별시 금천구 독산로 347, 3층 (독산동)",37.47781631,126.9034998,병원,한의원
다편한정형외과의원,"서울특별시 강남구 언주로 329, 3층 (역삼동)",37.49722165,127.0448965,병원,의원
다품한의원,"서울특별시 서대문구 증가로 145, 1층 (남가좌동)",37.57745614,126.921425,병원,한의원
김희재한의원,"서울특별시 마포구 독막로22길 3, 301호 (창전동)",37.54716515,126.9295144,병원,한의원
다하임치과의원,"서울특별시 중랑구 면목로 491, 201호 (상봉동, 주함해븐타워)",37.59581313,127.0853434,병원,치과의원
다함경희한의원,"서울특별시 송파구 백제고분로 212 (삼전동, 아미빌딩)",37.50348929,127.0900597,병원,한의원
다함한의원,"서울특별시 마포구 토정로31길 24, 지1층 근생2-비107호 (용강동, 이편한세상 마포리버파크)",37.54234256,126.943794,병원,한의원
다현한의원,"서울특별시 마포구 독막로 174, 재성빌딩 2층 (구수동)",37.5471502,126.9329285,병원,한의원
다홍치과의원,"서울특별시 강동구 양재대로 1607, 약봉빌딩 5층 (천호동)",37.54905914,127.1434078,병원,치과의원
닥터강이비인후과의원,"서울특별시 관악구 남부순환로161길 70, 2층 (신림동)",37.48534822,126.9187327,병원,의원
닥터고운선의원,"서울특별시 강남구 언주로174길 29, 3층 (신사동)",37.52811883,127.0364376,병원,의원
닥터고치과의원,"서울특별시 용산구 한강대로 293, 2층 (갈월동)",37.54439714,126.9718874,병원,치과의원
닥터굿플란트치과의원,"서울특별시 중랑구 겸재로 237, 5층 (망우동)",37.59004566,127.0939462,병원,치과의원
닥터굿플란트치과의원,"서울특별시 은평구 연서로 137, 영진빌딩 3층 일부호 (구산동)",37.61116189,126.9168429,병원,치과의원
닥터권치과의원,"서울특별시 노원구 공릉로 360, 2층 (하계동)",37.6388879,127.0697528,병원,치과의원
닥터김가정의학과의원,"서울특별시 강남구 압구정로 140, 현대빌딩 2층 (신사동)",37.52466252,127.0239931,병원,의원
닥터김마취통증의학과의원한의원,"서울특별시 성동구 성수이로 36-9, 1층 (성수동2가)",37.53807958,127.054838,병원,의원
닥터김의원,서울특별시 노원구 노원로 333 203호  (중계동),37.64663248,127.0697654,병원,의원
닥터나가정의학과의원,"서울특별시 서초구 헌릉로8길 9-8, 4층 401호 (내곡동, 내곡플라자)",37.4566898,127.0599758,병원,의원
닥터나인의원,"서울특별시 은평구 은평로 123, 2층 202호 (응암동, 응암아네스트)",37.60055197,126.9215191,병원,의원
닥터노아치과의원,"서울특별시 중구 서소문로 135, 연호빌딩 2층 (서소문동)",37.56405319,126.9758371,병원,치과의원
닥터뉴셀의원,"서울특별시 강남구 강남대로 458, 남영빌딩 7층 (역삼동)",37.50342024,127.0254633,병원,의원
닥터뉴욕치과의원,"서울특별시 서초구 강남대로 613, 4층 (잠원동)",37.51646321,127.0190547,병원,치과의원
닥터디자이너의원,"서울특별시 강남구 압구정로 445, 6층 (청담동)",37.52653887,127.0461094,병원,의원
닥터디자이너의원,"서울특별시 영등포구 경인로 870, 영등포 J&S 2층 (영등포동1가)",37.51698295,126.9092831,병원,의원
닥터디자이너의원명동점,"서울특별시 중구 명동3길 44, 6층 (을지로2가)",37.56568156,126.983726,병원,의원
닥터로빈의원,"서울특별시 강남구 테헤란로64길 20, 3층 (대치동,원동방빌딩)",37.50362125,127.0512646,병원,의원
닥터로피부과의원,"서울특별시 노원구 노해로 482, 덕영빌딩 7층 (상계동)",37.65440974,127.0624109,병원,의원
닥터린의원,"서울특별시 광진구 아차산로 373, 2층 (구의동, 원이빌딩)",37.53701194,127.0840327,병원,의원
닥터맘소아청소년과의원,서울특별시 강북구 삼양로27길 35-21 (미아동),37.61797663,127.0189343,병원,의원
닥터망고의원,"서울특별시 강남구 봉은사로 108, 10층 (역삼동)",37.50453439,127.0255941,병원,의원
닥터명마취통증의학과의원,"서울특별시 동작구 국사봉1길 32, 성대빌딩 4층 401호 (상도동)",37.49882263,126.9303494,병원,의원
닥터미성형외과의원,"서울특별시 서초구 강남대로 415, 대동빌딩 13층 (서초동)",37.4995604,127.0263398,병원,의원
닥터미소의원,"서울특별시 강남구 논현로175길 15, 3~4층 (신사동)",37.52586282,127.0274072,병원,의원
닥터민치과의원,"서울특별시 성북구 개운사길 5, 3층 (안암동5가, 세한빌딩)",37.58665936,127.029167,병원,치과의원
닥터박고은치과의원,"서울특별시 은평구 갈현로 85, 2층 (역촌동)",37.60558558,126.9103267,병원,치과의원
김상범성형외과의원,서울특별시 강남구 논현로 878,37.52714959,127.0289714,병원,의원
닥터박치과의원,"서울특별시 강북구 도봉로 337, 3층 (수유동)",37.63802609,127.025269,병원,치과의원
닥터밸리의원,"서울특별시 강남구 테헤란로92길 14 (대치동, 동우리빌딩 지하1층)",37.50703334,127.0611445,병원,의원
닥터베이직의원,"서울특별시 강남구 강남대로 478, 6층 (논현동, 제우빌딩)",37.50510628,127.0246695,병원,의원
닥터본성형외과의원,"서울특별시 강남구 압구정로12길 11, 3층 (신사동)",37.5232282,127.0227064,병원,의원
닥터봄의원,"서울특별시 서초구 강남대로65길 1, 8층 (서초동, 효봉빌딩)",37.50050395,127.0259,병원,의원
닥터봉의원,"서울특별시 동작구 사당로 300, 212호 (사당동, 이수자이)",37.48443595,126.9803085,병원,의원
닥터비의원,"서울특별시 강남구 삼성로 212- , 2층 (대치동, 은마아파트)",37.49527722,127.0635672,병원,의원
닥터쁘띠의원,"서울특별시 노원구 동일로 1396, 중원빌딩 3층 (상계동)",37.65324264,127.0613124,병원,의원
닥터쁘띠의원,"서울특별시 강남구 테헤란로4길 5, 해암빌딩 3,5층 (역삼동)",37.49792465,127.0300093,병원,의원
닥터쁘띠의원명동점,"서울특별시 중구 퇴계로 145, 세종호텔 3층 (충무로2가)",37.5614445,126.9879483,병원,의원
휴먼피부과의원,"서울특별시 송파구 올림픽로 289, 잠실시그마타워 306,307호 (신천동)",37.51461528,127.1025221,병원,의원
닥터선의원,"서울특별시 용산구 독서당로 122, 2층 (한남동)",37.53677447,127.0125858,병원,의원
닥터설치과의원,"서울특별시 송파구 석촌호수로 160, 수연빌딩 6층 (삼전동)",37.5066902,127.0947813,병원,치과의원
닥터소녀로의원,"서울특별시 강남구 논현로171길 4, 의섭빌딩 2층 (신사동)",37.52566995,127.0280298,병원,의원
닥터손유나의원,"서울특별시 강남구 도산대로53길 6, 지우빌딩1층~5층일부 (신사동)",37.52353813,127.0384193,병원,의원
닥터손의원,"서울특별시 강동구 천호대로 1027, 748동 3층 (천호동, 일동빌딩)",37.53810846,127.1263955,병원,의원
닥터송포유의원,"서울특별시 강남구 봉은사로 232, 3,4,5,6층 (역삼동)",37.50818201,127.0377269,병원,의원
닥터수의원,"서울특별시 구로구 디지털로 300, 지밸리비즈플라자 B1층 13호 (구로동)",37.48492704,126.896538,병원,의원
닥터스랜드의원,서울특별시 영등포구 영신로32길 28 (영등포동4가),37.51877328,126.9043056,병원,의원
닥터스마일의원,"서울특별시 송파구 동남로 217, 2층 (가락동, 동희빌딩)",37.49676479,127.1317395,병원,의원
닥터스마일치과의원,서울특별시 송파구 송파대로28길 27 (가락동),37.49481216,127.1201328,병원,치과의원
닥터스정신건강의학과의원,"서울특별시 강남구 강남대로 548, 건우빌딩 5층 501호 (논현동)",37.51103462,127.0218871,병원,의원
닥터스키니의원,"서울특별시 강남구 강남대로 416, 창림빌딩 3층 (역삼동)",37.49979881,127.0271576,병원,의원
닥터스프링의원,"서울특별시 강남구 도산대로58길 12, 4층 (청담동, K2빌딩)",37.52256452,127.0413357,병원,의원
닥터스피부과의원,"서울특별시 송파구 백제고분로 364, 대신빌딩 5층 (석촌동)",37.50459129,127.1068467,병원,의원
김홍란치과의원,"서울특별시 노원구 동일로228길 35, 청수빌딩 203호 (상계동)",37.6679406,127.0590641,병원,치과의원
닥터스피부과의원,"서울특별시 마포구 마포대로 127, 2층 201호 (공덕동, 풍림브이아이피텔)",37.54619449,126.9521413,병원,의원
닥터스피부과의원,"서울특별시 강남구 도산대로12길 7, 닥터스빌딩 지하2~3, 1~7층 (논현동)",37.51723029,127.0237519,병원,의원
김우종치과의원,"서울특별시 구로구 개봉로 17-1, (개봉동)",37.48732593,126.8560613,병원,치과의원
닥터스피부과의원,"서울특별시 강북구 도봉로 52, 연이빌딩 4층 (미아동)",37.61369937,127.0305285,병원,의원
닥터스피부과의원,"서울특별시 구로구 경인로67길 23, 305-1,2호 (신도림동, 신도림2차푸르지오)",37.51048264,126.8894812,병원,의원
닥터스피부과의원,"서울특별시 서초구 서초중앙로 249, 5,6층 (반포동)",37.50367352,127.0106324,병원,의원
닥터스피부과의원은평점,"서울특별시 은평구 통일로 750, 4층 (불광동)",37.61233415,126.9286635,병원,의원
닥터신베스트의원,"서울특별시 광진구 동일로 74, 지하1, 1층 (자양동)",37.53927383,127.0626718,병원,의원
닥터아이씨엘안과의원,"서울특별시 강남구 강남대로 390, 미진프라자 20층 (역삼동)",37.49783995,127.0285788,병원,의원
김윤상한의원,"서울특별시 성동구 독서당로 381, 207,208호 (응봉동, 현대종합상가)",37.55019514,127.030695,병원,한의원
닥터안헤어플란트의원,"서울특별시 강남구 언주로 647, 2층 (논현동, 강남빌딩)",37.51434808,127.0349461,병원,의원
닥터알의원,"서울특별시 영등포구 양평로 12, 정오빌딩 2층 (당산동6가)",37.53269099,126.9048917,병원,의원
닥터에버스의원,"서울특별시 관악구 관악로 164, 305,306호 (봉천동, 대우디오슈페리움1단지)",37.47973952,126.9528756,병원,의원
닥터에버스의원,"서울특별시 강서구 강서로 385, 우성에스비타워 11층 (마곡동)",37.56009264,126.8383041,병원,의원
닥터에버스의원,"서울특별시 강남구 선릉로 830, 공신진흥빌딩 4층 (청담동)",37.52601143,127.0404421,병원,의원
닥터에버스의원,"서울특별시 송파구 올림픽로35다길 42, 한국루터회관 6층 일부층 (신천동)",37.51525352,127.1030689,병원,의원
김덕호정형외과의원,"서울특별시 동작구 만양로 5-1, 3층 (상도동, 나동)",37.54678772,126.9781024,병원,의원
닥터에버스의원,"서울특별시 마포구 양화로 140, 5층 (동교동)",37.55510173,126.922124,병원,의원
닥터에버스의원,"서울특별시 구로구 디지털로26길 123, 지플러스타워 203~205호 (구로동)",37.48308233,126.8976995,병원,의원
김용현성형외과의원,"서울특별시 강남구 강남대로 606, 7층(논현동, 삼주빌딩)",37.5158,127.0201333,병원,의원
닥터에버스의원,"서울특별시 노원구 노해로 492, 프린스빌딩 9층 901,902,903호 (상계동)",37.65445483,127.0626778,병원,의원
닥터에버스의원목동,"서울특별시 양천구 목동로 203, 2층 1호 (신정동)",37.52670622,126.8638068,병원,의원
닥터엠의원,"서울특별시 관악구 난곡로 327-1, 2~4층 (신림동)",37.48329153,126.9139603,병원,의원
닥터예스팀산부인과의원,"서울특별시 송파구 마천로 29, 6층 (방이동)",37.50953124,127.1242436,병원,의원
닥터오르치과의원,"서울특별시 용산구 후암로35길 36, 2층 (후암동)",37.54997576,126.9759456,병원,치과의원
닥터오의원,"서울특별시 영등포구 선유로 63, EEU동신타워 402,403호 (문래동6가)",37.51965256,126.8890496,병원,의원
닥터오이비인후과의원,"서울특별시 노원구 동일로 1308, 정안프라자 2층 (중계동)",37.64597515,127.0641664,병원,의원
닥터오즈여성의원,"서울특별시 송파구 올림픽로35길 112, 장미상가 B동 224,225,232,233호 (신천동)",37.51788662,127.1019173,병원,의원
닥터올린의원,"서울특별시 용산구 이태원로 179, 해밀톤호텔 (본관) 1층 4호 (이태원동)",37.5348144,126.9937352,병원,의원
닥터요한의원,"서울특별시 관악구 관악로 195, 3층 304,305호 (봉천동, 관악위버폴리스)",37.48256382,126.9530987,병원,의원
닥터웰니스의원,"서울특별시 강남구 선릉로 660, 208호 (삼성동,브라운스톤레전드)",37.51555112,127.0423325,병원,의원
닥터유(U)와함께의원,"서울특별시 종로구 대학로 128, 3층 (동숭동)",37.58270506,127.0021572,병원,의원
닥터유내과의원,"서울특별시 강남구 영동대로 416, 케이티앤지 타워 지하1층일부 (대치동)",37.50658411,127.0653266,병원,의원
닥터유비뇨기과의원,"서울특별시 구로구 경인로67길 23, 306호 (신도림동, 신도림2차푸르지오)",37.51048264,126.8894812,병원,의원
닥터유이비인후과의원,서울특별시 용산구 이촌로 200 (이촌동),37.5209511,126.9693432,병원,의원
닥터유치과의원,"서울특별시 강남구 학동로 221, 예진빌딩 2층 (논현동)",37.51506304,127.0333312,병원,치과의원
닥터윤뷰티플의원,"서울특별시 강남구 학동로20길 55, 해림빌딩 4층 404,406호 (논현동)",37.51007864,127.0271982,병원,의원
김영재내과의원,"서울특별시 강북구 도봉로 253 (수유동, 서울메디칼빌딩)",37.63102255,127.0239879,병원,의원
닥터윤이비인후과의원,"서울특별시 마포구 동교로 207, 3층 (동교동)",37.55859588,126.9232176,병원,의원
닥터윤프로마취통증의학과의원,"서울특별시 용산구 한강대로 69, 3층 314~316호 (한강로2가, 용산푸르지오써밋)",37.52704046,126.9648922,병원,의원
닥터이레이저피부과의원,"서울특별시 강남구 선릉로 830, 공신진흥빌딩 2층 (청담동)",37.52601143,127.0404421,병원,의원
닥터이지치과의원,"서울특별시 강남구 논현로 712, 동호빌딩 2층 (논현동)",37.51571069,127.0302839,병원,치과의원
닥터재일치과의원,"서울특별시 강동구 올림픽로 796, 2층 (암사동)",37.55207425,127.1285347,병원,치과의원
닥터정리반의원,"서울특별시 강남구 압구정로 320, 4층 (신사동)",37.52854328,127.0364549,병원,의원
닥터정이비인후과의원,"서울특별시 은평구 진관2로 57-7, 253-B104호 (진관동, 은평뉴타운두산위브아파트)",37.63437375,126.9232361,병원,의원
닥터정치과의원,"서울특별시 서대문구 증가로 122, 2층 201호 (남가좌동, 백련빌딩)",37.57736863,126.9242771,병원,치과의원
닥터정치과의원,"서울특별시 강서구 가로공원로76길 102, 2층 (화곡동)",37.53265675,126.8389302,병원,치과의원
닥터정한의원,"서울특별시 강남구 강남대로136길 7, 3층 (논현동)",37.51316604,127.0213732,병원,한의원
닥터제이미의원,"서울특별시 관악구 신림로 340, 8층 (신림동)",37.48476254,126.9300965,병원,의원
닥터제이앤비의원,"서울특별시 구로구 경인로43길 49, MD동 B-204-2호 (고척동, 고척아이파크)",37.49825562,126.8598287,병원,의원
휴먼피부과의원,"서울특별시 은평구 통일로 739, 2층 (대조동, 오산상가)",37.61125057,126.9287336,병원,의원
김두순정형외과의원,"서울특별시 서초구 사임당로 175, 갤럭시타워 3층 301호 (서초동)",37.49174843,127.0250912,병원,의원
닥터조물주비뇨의학과의원,"서울특별시 서초구 강남대로 519, 도충빌딩 4층 (반포동)",37.50828803,127.0222059,병원,의원
닥터존의원,"서울특별시 구로구 중앙로 100, 연세사랑모아여성병원 1동 201호 (고척동)",37.5063537,126.8606125,병원,의원
닥터존정형외과의원,"서울특별시 동대문구 천호대로 267, DANA 3층 (답십리동)",37.56816195,127.0515596,병원,의원
닥터주비뇨의학과의원,"서울특별시 강남구 학동로53길 3-2, 8층 (논현동)",37.51734596,127.0401342,병원,의원
닥터준치과의원,서울특별시 강서구 양천로 677 (염창동),37.55137281,126.8719522,병원,치과의원
닥터지치과의원,"서울특별시 송파구 동남로 138, 삼원빌딩 3층 (문정동)",37.49112302,127.1262427,병원,치과의원
닥터진의원,"서울특별시 강남구 선릉로 820, 6층 (청담동)",37.52496022,127.040211,병원,의원
닥터진이비인후과의원,"서울특별시 서초구 강남대로 621, 2층 (잠원동, K TOWER)",37.5171318,127.0187886,병원,의원
닥터진치과의원,"서울특별시 구로구 시흥대로 551 (구로동, 광희빌딩)",37.48253994,126.9002463,병원,치과의원
김미영산부인과의원,"서울특별시 마포구 숭문길 218, 2,3층 (염리동)",37.55614087,126.9466405,병원,의원
김동민안과의원,서울특별시 강북구 도봉로 328 (번동),37.63706353,127.0251235,병원,의원
닥터진힐링정신건강의학과의원,"서울특별시 송파구 송이로 200, 2층 (문정동, 대진빌딩)",37.49000146,127.1279802,병원,의원
닥터철비뇨의학과의원,"서울특별시 강서구 양천로 72, 해성빌딩 3층 301호 (방화동)",37.57321163,126.8117771,병원,의원
닥터케빈의원,"서울특별시 서초구 강남대로 535, 프린스빌딩 B1, 3층 (반포동)",37.50960902,127.0215987,병원,의원
나무치과의원,"서울특별시 광진구 아차산로 380, 세화빌딩 301호 (자양동)",37.53661715,127.0850007,병원,치과의원
김동준내과의원,"서울특별시 서초구 방배로 240, 2층 (방배동)",37.49453834,126.9897096,병원,의원
나라한의원,"서울특별시 강남구 도곡로 219, 우노빌딩 2층 (역삼동)",37.49331646,127.0428571,병원,한의원
닥터퀸스의원,"서울특별시 강남구 언주로81길 42, 2층 (역삼동)",37.49955337,127.0401254,병원,의원
닥터크리미의원,"서울특별시 강남구 강남대로 616 (신사동, 신사미타워, 6층(602호, 603호), 13층(1301호))",37.51685602,127.0197982,병원,의원
